Station,X,Y,Color
Rithala,77.1072713,28.7207528,Red
Rohini West,77.1155061,28.7148873,Red
Rohini East,77.1259876,28.7076402,Red
Pitampura,77.1322952,28.7031746,Red
Kohat Enclave,77.140653,28.6979911,Red
Netaji Subhash Place,77.1525896,28.6960237,Red
Keshav Puram,77.1616849,28.6887975,Red
Kanhiya Nagar,77.1647596,28.682437,Red
Inderlok,77.170304,28.6735145,Green
Shastri Nagar,77.1821244,28.669994,Red
Pratap Nagar,77.198984,28.6666541,Red
Pulbangash,77.2073531,28.6663998,Red
Tis Hazari,77.2165208,28.6670451,Red
Kashmere Gate,77.2282216,28.6675734,Red
Shastri Park,77.2503247,28.6684738,Red
Seelampur,77.2668174,28.6699165,Red
Welcome,77.2775389,28.6717853,Red
Shahdara,77.2898654,28.6734903,Red
Mansarovar Park,77.3010417,28.6753957,Red
Jhilmil,77.3124081,28.6757709,Red
Dilshad Garden,77.321416,28.6758977,Red
Shaheed Nagar,77.333775,28.6765163,Red
Raj Bagh,77.3467394,28.6769947,Red
Major Mohit Sharma,77.3585921,28.67765,Red
Shyam Park,77.3708237,28.6781858,Red
Mohan Nagar,77.3839687,28.6785849,Red
Arthala,77.3919411,28.677032,Red
Hindon River,77.406553,28.6733436,Red
Shaheed Sthal,77.4158595,28.670363,Red
Dwarka Sector 21,77.058204,28.5521271,Blue
Dwarka Sector 8,77.0670037,28.5656931,Blue
Dwarka Sector 9,77.0652617,28.5743026,Blue
Dwarka Sector 10,77.0574097,28.581134,Blue
Dwarka Sector 11,77.0493868,28.5864953,Blue
Dwarka Sector 12,77.0406753,28.5922664,Blue
Dwarka Sector 13,77.0334124,28.5971272,Blue
Dwarka Sector 14,77.0259676,28.6022397,Blue
Dwarka,77.022627,28.6148606,Blue
Dwarka Mor,77.0332496,28.6193184,Blue
Nawada,77.0450499,28.6202423,Blue
Uttam Nagar West,77.0556687,28.6217215,Blue
Uttam Nagar East,77.0652,28.6247858,Blue
Janakpuri West,77.078616,28.6278906,Magenta
Janakpuri East,77.0866097,28.6330609,Blue
Tilak Nagar,77.0963845,28.63656,Blue
Subhash Nagar,77.1049005,28.6403744,Blue
Tagore Garden,77.1127855,28.6437816,Blue
Rajouri Garden,77.123864,28.650398,Pink
Ramesh Nagar,77.1315449,28.6527419,Blue
Moti Nagar,77.1424542,28.6578406,Blue
Kirti Nagar,77.1506329,28.655808,Green
Shadipur,77.1583175,28.6515933,Blue
Patel Nagar,77.1692729,28.6451122,Blue
Rajendra Place,77.1779295,28.6424438,Blue
Karol Bagh,77.1884686,28.6440006,Blue
Jhandewalan,77.1998389,28.6443214,Blue
RK Ashram Marg,77.2086679,28.6391917,Blue
Rajiv Chowk,77.2195753,28.6329753,Blue
Barakhamba Road,77.2245477,28.6299778,Blue
Mandi House,77.2341127,28.6258309,Violet
Supreme Court,77.2451,28.6204892,Blue
Indraprastha,77.259,28.6227972,Blue
Yamuna Bank,77.2681174,28.6227972,Blue
Akshardham,77.2792829,28.6180191,Blue
Mayur Vihar Phase-I,77.2893959,28.6000515,Blue
Mayur Vihar Ext.,77.2946312,28.5941766,Blue
New Ashok Nagar,77.3018638,28.589082,Blue
Noida Sector 15,77.3115117,28.5851651,Blue
Noida Sector 16,77.3175863,28.5783805,Blue
Noida Sector 18,77.3261188,28.5707571,Blue
Botanical Garden,77.3343428,28.5639765,Magenta
Noida Golf Course,77.3459787,28.5671784,Blue
Noida City Centre,77.3560548,28.5746702,Blue
Noida Sec-34,77.3634907,28.5801836,Blue
Noida Sec-52,77.3724647,28.5866885,Blue
Noida Sec-61,77.3723321,28.5976787,Blue
Noida Sec-59,77.3727638,28.6065709,Blue
Noida Sec-62,77.3736312,28.6168412,Blue
Noida Electronic City,77.3748184,28.6274538,Blue
Laxmi Nagar,77.2773599,28.6305033,Blue
Nirman Vihar,77.2866833,28.6365612,Blue
Preet Vihar,77.2953132,28.6415046,Blue
Karkarduma,77.3054947,28.6484258,Blue
Anand Vihar,77.3157493,28.6471126,Pink
Kaushambi,77.3242882,28.6455139,Blue
Vaishali,77.3394693,28.6500434,Blue
Majlis Park,77.1819246,28.7239125,Pink
Azadpur,77.1813862,28.7057088,Pink
Shalimar Bagh,77.1655249,28.7019355,Pink
Shakurpur,77.1495236,28.6858053,Pink
Punjabi Bagh West,77.1391867,28.6727782,Pink
ESI Hospital,77.1273415,28.6581742,Pink
Mayapuri,77.1295874,28.6371453,Pink
Naraina Vihar,77.1365737,28.6238632,Pink
Delhi Cantt,77.140383,28.6086735,Pink
Durgabai Deshmukh South Campus,77.169463,28.5893081,Pink
Sir Vishweshwaraiah Moti Bagh,77.1758327,28.5783971,Pink
